Category,Product,Details,Link
AWS Cost Management,Savings Plans,Save up to 72% on compute usage with flexible pricing,https://aws.amazon.com/savingsplans/?nc2=h_ql_prod_cm_sav
Blockchain,Amazon Managed Blockchain,Create and manage scalable blockchain networks,https://aws.amazon.com/managed-blockchain/?nc2=h_ql_prod_bl_amb
Blockchain,Amazon Quantum Ledger Database (QLDB),Fully managed ledger database,https://aws.amazon.com/qldb/?nc2=h_ql_prod_bl_qldb
Business Applications,Alexa for Business,Empower your organization with Alexa,https://aws.amazon.com/alexaforbusiness/?nc2=h_ql_prod_ba_alexa
Business Applications,Amazon Chime,"Frustration-free meetings, video calls, and chat",https://aws.amazon.com/chime/?nc2=h_ql_prod_ba_chim
Business Applications,Amazon Honeycode (Beta),Build mobile & web apps without programming,https://www.honeycode.aws/?&trk=el_a134p000003yC6YAAU&trkCampaign=pac-edm-2020-honeycode-homepage&sc_channel=el&sc_campaign=pac-edm-2020-honeycode-website_links-adoption-aws_global_menu_products_link&sc_outcome=Enterprise_Digital_Marketing&sc_geo=NAMER&sc_country=mult
Business Applications,Amazon WorkDocs,Secure enterprise document storage and sharing,https://aws.amazon.com/workdocs/?nc2=h_ql_prod_ba_wdoc
Business Applications,Amazon WorkMail,Secure email and calendaring,https://aws.amazon.com/workmail/?nc2=h_ql_prod_ba_wmail
Compute,Amazon EC2,Virtual servers in the cloud,https://aws.amazon.com/ec2/?nc2=h_ql_prod_cp_ec2
Compute,Amazon EC2 Auto Scaling,Scale compute capacity to meet demand,https://aws.amazon.com/ec2/autoscaling/?nc2=h_ql_prod_cp_ec2auto
Compute,Amazon Lightsail,Launch and manage virtual private servers,https://aws.amazon.com/lightsail/?nc2=h_ql_prod_cp_ls
Compute,AWS Batch,Run batch jobs at any scale,https://aws.amazon.com/batch/?nc2=h_ql_prod_cp_ba
Compute,AWS Elastic Beanstalk,Run and manage web apps,https://aws.amazon.com/elasticbeanstalk/?nc2=h_ql_prod_cp_ebs
Compute,AWS Lambda,Run code without thinking about servers,https://aws.amazon.com/lambda/?nc2=h_ql_prod_cp_lbd
Compute,AWS Outposts,Run AWS infrastructure on-premises,https://aws.amazon.com/outposts/?nc2=h_ql_prod_cp_out
Compute,AWS Serverless Application Repository,"Discover, deploy, and publish serverless applications",https://aws.amazon.com/serverless/serverlessrepo/?nc2=h_ql_prod_cp_sar
Compute,AWS Snow Family,"Physical devices to aggregate and process data in edge locations, then transfer to AWS",https://aws.amazon.com/snow/?nc2=h_ql_prod_cp_sno
Compute,AWS Wavelength,Deliver ultra-low latency applications for 5G devices,https://aws.amazon.com/wavelength/?nc2=h_ql_prod_cp_wav
Compute,VMware Cloud on AWS,Build a hybrid cloud without custom hardware,https://aws.amazon.com/vmware/?nc2=h_ql_prod_cp_vmw
Containers,Amazon Elastic Container Registry,"Easily store, manage, and deploy container images",https://aws.amazon.com/ecr/?nc2=h_ql_prod_ct_ec2reg
Containers,Amazon Elastic Container Service (ECS),"Highly secure, reliable, and scalable way to run containers",https://aws.amazon.com/ecs/?nc2=h_ql_prod_ct_ecs
Containers,Amazon ECS Anywhere (Coming Soon),ECS on your infrastructure,https://aws.amazon.com/ecs/?nc2=h_ql_prod_ct_ecsa
Containers,Amazon Elastic Kubernetes Service (EKS),The most trusted way to run Kubernetes,https://aws.amazon.com/eks/?nc2=h_ql_prod_ct_eks
Containers,Amazon EKS Anywhere (Coming Soon),Kubernetes on your infrastructure,https://aws.amazon.com/eks/eks-anywhere/?nc2=h_ql_prod_ct_eksa
Containers,Amazon EKS Distro - NEW,Run consistent Kubernetes clusters,https://aws.amazon.com/eks/eks-distro/?nc2=h_ql_prod_ct_eksd
Containers,AWS App2Container,Containerize and migrate existing applications,https://aws.amazon.com/app2container/?nc2=h_ql_prod_ct_ap2
Containers,AWS Fargate,Serverless compute for containers,https://aws.amazon.com/fargate/?nc2=h_ql_prod_ct_far
Containers,Red Hat OpenShift Service on AWS,Managed Red Hat OpenShift clusters,https://aws.amazon.com/rosa/?nc2=h_ql_prod_ct_rosa
Customer Engagement,Amazon Connect,Cloud-based contact center service,https://aws.amazon.com/connect/?nc2=h_ql_prod_ce_con
Customer Engagement,Amazon Pinpoint,Personalized user engagement across channels,https://aws.amazon.com/pinpoint/?nc2=h_ql_prod_ce_pin
Customer Engagement,Amazon Simple Email Service (SES),Email sending and receiving,https://aws.amazon.com/ses/?nc2=h_ql_prod_ce_ses
Database,Amazon Aurora,High performance managed relational database,https://aws.amazon.com/rds/aurora/?nc2=h_ql_prod_db_aa
Database,Amazon Aurora Serverless V2 (Preview) - NEW,"Instantly scale to >100,000 transactions per second",https://aws.amazon.com/rds/aurora/serverless/?nc2=h_ql_prod_db_aav2
Database,Amazon DocumentDB (with MongoDB compatibility),Fully managed document database,https://aws.amazon.com/documentdb/?nc2=h_ql_prod_db_doc
Database,Amazon DynamoDB,Managed NoSQL database,https://aws.amazon.com/dynamodb/?nc2=h_ql_prod_db_ddb
Database,Amazon ElastiCache,In-memory caching service,https://aws.amazon.com/elasticache/?nc2=h_ql_prod_db_elc
Database,Amazon Keyspaces (for Apache Cassandra),Managed Cassandra-compatible database,https://aws.amazon.com/keyspaces/?nc2=h_ql_prod_db_mcs
Database,Amazon Neptune,Fully managed graph database service,https://aws.amazon.com/neptune/?nc2=h_ql_prod_db_nep
Database,Amazon Quantum Ledger Database (QLDB),Fully managed ledger database,https://aws.amazon.com/qldb/?nc2=h_ql_prod_db_qldb
Database,Amazon RDS,"Managed relational database service for MySQL, PostgreSQL, Oracle, SQL Server, and MariaDB",https://aws.amazon.com/rds/?nc2=h_ql_prod_db_rds
Database,Amazon RDS on VMware,Automate on-premises database management,https://aws.amazon.com/rds/vmware/?nc2=h_ql_prod_db_rdsvm
Database,Amazon Redshift,"Fast, simple, cost-effective data warehousing",https://aws.amazon.com/redshift/?nc2=h_ql_prod_db_rs
Database,Amazon Timestream,Fully managed time series database,https://aws.amazon.com/timestream/?nc2=h_ql_prod_db_ts
Database,AWS Database Migration Service,Migrate databases with minimal downtime,https://aws.amazon.com/dms/?nc2=h_ql_prod_db_dbm
Database,AWS Glue,"Simple, scalable, and serverless data integration",https://aws.amazon.com/glue/?nc2=h_ql_prod_db_glu
Developer Tools,Amazon CodeGuru,Find your most expensive lines of code,https://aws.amazon.com/codeguru/?nc2=h_ql_prod_ml_cg
Developer Tools,Amazon Corretto,Production-ready distribution of OpenJDK,https://aws.amazon.com/corretto/?nc2=h_ql_prod_dt_cor
Developer Tools,AWS Cloud Development Kit (CDK),Model cloud infrastructure using code,https://aws.amazon.com/cdk/?nc2=h_ql_prod_dt_cdk
Developer Tools,AWS Cloud9,"Write, run, and debug code on a cloud IDE",https://aws.amazon.com/cloud9/?nc2=h_ql_prod_dt_c9
Developer Tools,AWS CloudShell - NEW,Browser-based shell environment,https://aws.amazon.com/cloudshell/?nc2=h_ql_prod_dt_cs
Developer Tools,AWS CodeArtifact,"Secure, scalable, and cost-effective artifact management for software development",https://aws.amazon.com/codeartifact/?nc2=h_ql_prod_dt_ca
Developer Tools,AWS CodeBuild,Build and test code,https://aws.amazon.com/codebuild/?nc2=h_ql_prod_dt_cb
Developer Tools,AWS CodeCommit,Store code in private Git repositories,https://aws.amazon.com/codecommit/?nc2=h_ql_prod_dt_cc
Developer Tools,AWS CodeDeploy,Automate code deployments,https://aws.amazon.com/codedeploy/?nc2=h_ql_prod_dt_cd
Developer Tools,AWS CodePipeline,Release software using continuous delivery,https://aws.amazon.com/codepipeline/?nc2=h_ql_prod_dt_cp
Developer Tools,AWS CodeStar,Develop and deploy AWS applications,https://aws.amazon.com/codestar/?nc2=h_ql_prod_cstr
Developer Tools,AWS Command Line Interface,Unified tool to manage AWS services,https://aws.amazon.com/cli/?nc2=h_ql_prod_dt_cli
Developer Tools,AWS Device Farm,"Test Android, iOS, and web apps on real devices in the AWS cloud",https://aws.amazon.com/device-farm/?nc2=h_ql_prod_dt_df
Developer Tools,AWS Fault Injection Simulator (Coming Soon),Fully managed chaos engineering service,https://aws.amazon.com/fis/?nc2=h_ql_prod_dt_fis
Developer Tools,AWS Tools and SDKs,Tools and SDKs for AWS,https://aws.amazon.com/getting-started/tools-sdks/?nc2=h_ql_prod_dt_tsdk
Developer Tools,AWS X-Ray,Analyze and debug your applications,https://aws.amazon.com/xray/?nc2=h_ql_prod_dt_xray
End User Computing,Amazon WorkSpaces,Virtual desktops in the cloud,https://aws.amazon.com/workspaces/?nc2=h_ql_prod_eu_wspa
End User Computing,Amazon AppStream 2.0,Stream desktop applications securely to a browser,https://aws.amazon.com/appstream2/?nc2=h_ql_prod_eu_as2
End User Computing,Amazon WorkLink,Enable mobile access to internal websites,https://aws.amazon.com/worklink/?nc2=h_ql_prod_eu_wkl
Front-End Web & Mobile,AWS Amplify,Build and deploy mobile and web applications,https://aws.amazon.com/amplify/?nc2=h_ql_prod_mo_awsa
Front-End Web & Mobile,Amazon API Gateway,"Build, deploy, and manage API's",https://aws.amazon.com/api-gateway/?nc2=h_ql_prod_mo_apig
Front-End Web & Mobile,Amazon Location Service (Preview),Securely and easily add location data to applications,https://aws.amazon.com/location/?nc2=h_ql_prod_mo_loc
Front-End Web & Mobile,Amazon Pinpoint,Personalized user engagement across channels,https://aws.amazon.com/pinpoint/?nc2=h_ql_prod_mo_pp
Front-End Web & Mobile,AWS AppSync,"Power your apps with the right data from many sources, at scale",https://aws.amazon.com/appsync/?nc2=h_ql_prod_mo_apps
Front-End Web & Mobile,AWS Device Farm,"Test Android, iOS, and web apps on real devices in the AWS cloud",https://aws.amazon.com/device-farm/?nc2=h_ql_prod_mo_df
Game Tech,Amazon GameLift,"Simple, fast, cost-effective dedicated game server hosting",https://aws.amazon.com/gamelift/?nc2=h_ql_prod_gt_gl
Game Tech,Amazon Lumberyard,"A free cross-platform 3D game engine, with Full Source, integrated with AWS and Twitch",https://aws.amazon.com/lumberyard/?nc2=h_ql_prod_gt_ly
Internet of Things,AWS IoT 1-Click,One click creation of an AWS Lambda trigger,https://aws.amazon.com/iot-1-click/?nc2=h_ql_prod_it_1clk
Internet of Things,AWS IoT Analytics,Analytics for IoT devices,https://aws.amazon.com/iot-analytics/?nc2=h_ql_prod_it_iota
Internet of Things,AWS IoT Button,Cloud programmable dash button,https://aws.amazon.com/iotbutton/?nc2=h_ql_prod_it_iotb
Internet of Things,AWS IoT Core,Connect devices to the cloud,https://aws.amazon.com/iot-core/?nc2=h_ql_prod_it_iotc
Internet of Things,AWS IoT Device Defender,Security management for IoT devices,https://aws.amazon.com/iot-device-defender/?nc2=h_ql_prod_it_dd
Internet of Things,AWS IoT Device Management,"Onboard, organize, and remotely manage IoT devices",https://aws.amazon.com/iot-device-management/?nc2=h_ql_prod_it_dm
Internet of Things,AWS IoT Events,IoT event detection and response,https://aws.amazon.com/iot-events/?nc2=h_ql_prod_it_ev
Internet of Things,AWS IoT Greengrass,"Local compute, messaging, and sync for devices",https://aws.amazon.com/greengrass/?nc2=h_ql_prod_it_gg
Internet of Things,AWS IoT SiteWise,IoT data collector and interpreter,https://aws.amazon.com/iot-sitewise/?nc2=h_ql_prod_it_sw
Internet of Things,AWS IoT Things Graph,Easily connect devices and web services,https://aws.amazon.com/iot-things-graph/?nc2=h_ql_prod_it_tg
Internet of Things,AWS Partner Device Catalog,Curated catalog of AWS-compatible IoT hardware,https://devices.amazonaws.com/?nc2=h_ql_prod_it_pdc
Internet of Things,FreeRTOS,Real-time operating system for microcontrollers,https://aws.amazon.com/freertos/?nc2=h_ql_prod_it_frtos
Machine Learning,Amazon SageMaker,"Build, train, and deploy machine learning models at scale",https://aws.amazon.com/sagemaker/?nc2=h_ql_prod_ml_sm
Machine Learning,Amazon Augmented AI,Easily implement human review of ML predictions,https://aws.amazon.com/augmented-ai/?nc2=h_ql_prod_ml_aai
Machine Learning,Amazon CodeGuru,Find your most expensive lines of code,https://aws.amazon.com/codeguru/?nc2=h_ql_prod_ml_cg
Machine Learning,Amazon Comprehend,Discover insights and relationships in text,https://aws.amazon.com/comprehend/?nc2=h_ql_prod_ml_comp
Machine Learning,Amazon DevOps Guru - NEW,ML-powered cloud operations service,https://aws.amazon.com/devops-guru/?nc2=h_ql_prod_ml_devg
Machine Learning,Amazon Elastic Inference,Deep learning inference acceleration,https://aws.amazon.com/machine-learning/elastic-inference/?nc2=h_ql_prod_ml_ei
Machine Learning,Amazon Forecast,Increase forecast accuracy using machine learning,https://aws.amazon.com/forecast/?nc2=h_ql_prod_ml_for
Machine Learning,Amazon Fraud Detector,Detect more online fraud faster,https://aws.amazon.com/fraud-detector/?nc2=h_ql_prod_ml_fd
Machine Learning,Amazon Kendra,Reinvent enterprise search with ML,https://aws.amazon.com/kendra/?nc2=h_ql_prod_ml_ken
Machine Learning,Amazon Lex,Build voice and text chatbots,https://aws.amazon.com/lex/?nc2=h_ql_prod_ml_lex
Machine Learning,Amazon Lookout for Equipment (Preview) - NEW,Detect abnormal behavior by analyzing sensor data,https://aws.amazon.com/lookout-for-equipment/?nc2=h_ql_prod_ml_lfe
Machine Learning,Amazon Lookout for Metrics (Preview) - NEW,Detect anomalies in metrics,https://aws.amazon.com/lookout-for-metrics/?nc2=h_ql_prod_ml_lfm
Machine Learning,Amazon Lookout for Vision (Preview) - NEW,Spot product defects using computer vision,https://aws.amazon.com/lookout-for-vision/?nc2=h_ql_prod_ml_lfv
Machine Learning,Amazon Monitron - NEW,End-to-end system for equipment monitoring,https://aws.amazon.com/monitron/?nc2=h_ql_prod_ml_mtn
Machine Learning,Amazon Personalize,Build real-time recommendations into your applications,https://aws.amazon.com/personalize/?nc2=h_ql_prod_ml_per
Machine Learning,Amazon Polly,Turn text into life-like speech,https://aws.amazon.com/polly/?nc2=h_ql_prod_ml_poll
Machine Learning,Amazon Rekognition,Analyze image and video,https://aws.amazon.com/rekognition/?nc2=h_ql_prod_ml_rek
Machine Learning,Amazon Textract,Extract text and data from documents,https://aws.amazon.com/textract/?nc2=h_ql_prod_ml_text
Machine Learning,Amazon Translate,Natural and fluent language translation,https://aws.amazon.com/translate/?nc2=h_ql_prod_ml_tl
Machine Learning,Amazon Transcribe,Automatic speech recognition,https://aws.amazon.com/transcribe/?nc2=h_ql_prod_ml_ts
Machine Learning,AWS Deep Learning AMIs,Deep learning on Amazon EC2,https://aws.amazon.com/machine-learning/amis/?nc2=h_ql_prod_ml_amis
Machine Learning,AWS Deep Learning Containers,Docker images for deep learning,https://aws.amazon.com/machine-learning/containers/?nc2=h_ql_prod_ml_con
Machine Learning,AWS DeepComposer,ML enabled musical keyboard,https://aws.amazon.com/deepcomposer/?nc2=h_ql_prod_ml_dc
Machine Learning,AWS DeepLens,Deep learning enabled video camera,https://aws.amazon.com/deeplens/?nc2=h_ql_prod_ml_dl
Machine Learning,AWS DeepRacer,"Autonomous 1/18th scale race car, driven by ML",https://aws.amazon.com/deepracer/?nc2=h_ql_prod_ml_dr
Machine Learning,AWS Inferentia,Machine learning inference chip,https://aws.amazon.com/machine-learning/inferentia/?nc2=h_ql_prod_ml_inf
Machine Learning,AWS Panorama (Preview) - NEW,Improve operations with computer vision at the edge,https://aws.amazon.com/panorama/?nc2=h_ql_prod_ml_pan
Machine Learning,Apache MXNet on AWS,"Scalable, open-source deep learning framework",https://aws.amazon.com/mxnet/?nc2=h_ql_prod_ml_mxn
Machine Learning,PyTorch on AWS,Flexible open-source machine learning framework,https://aws.amazon.com/pytorch/?nc2=h_ql_prod_ml_pt
Machine Learning,TensorFlow on AWS,Open-source machine intelligence library,https://aws.amazon.com/tensorflow/?nc2=h_ql_prod_ml_tf
Management & Governance,Amazon CloudWatch,Monitor resources and applications,https://aws.amazon.com/cloudwatch/?nc2=h_ql_prod_mg_cw
Management & Governance,Amazon Managed Service for Grafana (Preview) - NEW,Powerful interactive data visualizations,https://aws.amazon.com/grafana/?nc2=h_ql_prod_mg_gf
Management & Governance,Amazon Managed Service for Prometheus (Preview) - NEW,"Highly available, secure monitoring for containers",https://aws.amazon.com/prometheus/?nc2=h_ql_prod_mg_pro
Management & Governance,AWS Auto Scaling,Scale multiple resources to meet demand,https://aws.amazon.com/autoscaling/?nc2=h_ql_prod_mg_as
Management & Governance,AWS Chatbot,ChatOps for AWS,https://aws.amazon.com/chatbot/?nc2=h_ql_prod_mg_cb
Management & Governance,AWS CloudFormation,Create and manage resources with templates,https://aws.amazon.com/cloudformation/?nc2=h_ql_prod_mg_cf
Management & Governance,AWS CloudTrail,Track user activity and API usage,https://aws.amazon.com/cloudtrail/?nc2=h_ql_prod_mg_ct
Management & Governance,AWS Command Line Interface,Unified tool to manage AWS services,https://aws.amazon.com/cli/?nc2=h_ql_prod_mg_cli
Management & Governance,AWS Compute Optimizer,Identify optimal AWS Compute resources,https://aws.amazon.com/compute-optimizer/?nc2=h_ql_prod_mg_opt
Management & Governance,AWS Config,Track resources inventory and changes,https://aws.amazon.com/config/?nc2=h_ql_prod_mg_con
Management & Governance,AWS Control Tower,"Set up and govern a secure, compliant multi-account environment",https://aws.amazon.com/controltower/?nc2=h_ql_prod_mg_ct
Management & Governance,AWS Console Mobile Application,Access resources on the go,https://aws.amazon.com/console/mobile/?nc2=h_ql_prod_mg_cma
Management & Governance,AWS Distro for OpenTelemetry (Preview),Collect correlated metrics and traces,https://aws.amazon.com/otel/?nc2=h_ql_prod_mg_ot
Management & Governance,AWS License Manager,"Track, manage, and control licenses",https://aws.amazon.com/license-manager/?nc2=h_ql_prod_mg_lm
Management & Governance,AWS Management Console,Web-based user interface,https://aws.amazon.com/console/?nc2=h_ql_prod_mg_mc
Management & Governance,AWS Managed Services,Infrastructure operations management for AWS,https://aws.amazon.com/managed-services/?nc2=h_ql_prod_mg_ms
Management & Governance,AWS OpsWorks,Automate operations with Chef and Puppet,https://aws.amazon.com/opsworks/?nc2=h_ql_prod_mg_ow
Management & Governance,AWS Organizations,Central governance and management across AWS accounts,https://aws.amazon.com/organizations/?nc2=h_ql_prod_mg_org
Management & Governance,AWS Personal Health Dashboard,Personalized view of AWS service health,https://aws.amazon.com/premiumsupport/technology/personal-health-dashboard/?nc2=h_ql_prod_mg_phd
Management & Governance,AWS Proton (Preview) - NEW,Automated management for container and serverless deployment,https://aws.amazon.com/proton/?nc2=h_ql_prod_mg_pro
Management & Governance,AWS Service Catalog,Create and use standardized products,https://aws.amazon.com/servicecatalog/?nc2=h_ql_prod_mg_sc
Management & Governance,AWS Systems Manager,Gain operational insights and take action,https://aws.amazon.com/systems-manager/?nc2=h_ql_prod_mg_sm
Management & Governance,AWS Trusted Advisor,Optimize performance and security,https://aws.amazon.com/premiumsupport/technology/trusted-advisor/?nc2=h_ql_prod_mg_ta
Management & Governance,AWS Well-Architected Tool,Review and improve your workloads,https://aws.amazon.com/well-architected-tool/?nc2=h_ql_prod_mg_wat
Media Services,Amazon Elastic Transcoder,Easy-to-use scalable media transcoding,https://aws.amazon.com/elastictranscoder/?nc2=h_ql_prod_ms_et
Media Services,Amazon Interactive Video Service,Managed live video solution,https://aws.amazon.com/ivs/?nc2=h_ql_prod_ms_ivs
Media Services,Amazon Kinesis Video Streams,Process and analyze video streams,https://aws.amazon.com/kinesis/video-streams/?nc2=h_ql_prod_ms_kvs
Media Services,AWS Elemental MediaConnect,Reliable and secure live video transport,https://aws.amazon.com/mediaconnect/?nc2=h_ql_prod_ms_emc
Media Services,AWS Elemental MediaConvert,Convert file-based video content,https://aws.amazon.com/mediaconvert/?nc2=h_ql_prod_ms_emcv
Media Services,AWS Elemental MediaLive,Convert live video content,https://aws.amazon.com/medialive/?nc2=h_ql_prod_ms_eml
Media Services,AWS Elemental MediaPackage,Video origination and packaging,https://aws.amazon.com/mediapackage/?nc2=h_ql_prod_ms_emp
Media Services,AWS Elemental MediaStore,Media storage and simple http origin,https://aws.amazon.com/mediastore/?nc2=h_ql_prod_ms_ems
Media Services,AWS Elemental MediaTailor,Video personalization and monetization,https://aws.amazon.com/mediatailor/?nc2=h_ql_prod_ms_emt
Media Services,AWS Elemental Appliances & Software,On-premises media solutions,https://aws.amazon.com/elemental-appliances-software/?nc2=h_ql_prod_ms_eas
Migration & Transfer,AWS Migration Hub,Track migrations from a single place,https://aws.amazon.com/migration-hub/?nc2=h_ql_prod_mt_mh
Migration & Transfer,AWS Application Discovery Service,Discover on-premises applications to streamline migration,https://aws.amazon.com/application-discovery/?nc2=h_ql_prod_mt_ads
Migration & Transfer,AWS Database Migration Service,Migrate databases with minimal downtime,https://aws.amazon.com/dms/?nc2=h_ql_prod_mt_dbms
Migration & Transfer,AWS DataSync,"Simple, fast, online data transfer",https://aws.amazon.com/datasync/?nc2=h_ql_prod_mt_ds
Migration & Transfer,AWS Server Migration Service,Migrate on-premises servers to AWS,https://aws.amazon.com/server-migration-service/?nc2=h_ql_prod_mt_sms
Migration & Transfer,AWS Snow Family,Physical devices to migrate data into and out of AWS,https://aws.amazon.com/snow/?nc2=h_ql_prod_mt_sno
Migration & Transfer,AWS Transfer Family,"Fully managed SFTP, FTPS, and FTP service",https://aws.amazon.com/aws-transfer-family/?nc2=h_ql_prod_mt_sftp
Migration & Transfer,CloudEndure Migration,Automate your mass migration to the AWS cloud,https://aws.amazon.com/cloudendure-migration/?nc2=h_ql_prod_mt_cem
Migration & Transfer,Migration Evaluator (Formerly TSO Logic),Create a business case for cloud migration,https://aws.amazon.com/migration-evaluator/?nc2=h_ql_prod_mt_tso
Networking & Content Delivery,Amazon VPC,Isolated cloud resources,https://aws.amazon.com/vpc/?nc2=h_ql_prod_nt_avpc
Networking & Content Delivery,Amazon API Gateway,"Build, deploy, and manage APIs",https://aws.amazon.com/api-gateway/?nc2=h_ql_prod_nt_apig
Networking & Content Delivery,Amazon CloudFront,Global content delivery network,https://aws.amazon.com/cloudfront/?nc2=h_ql_prod_nt_cf
Networking & Content Delivery,Amazon Route 53,Scalable domain name system (DNS),https://aws.amazon.com/route53/?nc2=h_ql_prod_nt_r53
Networking & Content Delivery,AWS App Mesh,Monitor and control microservices,https://aws.amazon.com/app-mesh/?nc2=h_ql_prod_nt_appm
Networking & Content Delivery,AWS Cloud Map,Service discovery for cloud resources,https://aws.amazon.com/cloud-map/?nc2=h_ql_prod_nt_cm
Networking & Content Delivery,AWS Direct Connect,Dedicated network connection to AWS,https://aws.amazon.com/directconnect/?nc2=h_ql_prod_nt_dc
Networking & Content Delivery,AWS Global Accelerator,Improve application availability and performance,https://aws.amazon.com/global-accelerator/?nc2=h_ql_prod_nt_gla
Networking & Content Delivery,AWS PrivateLink,Securely access services hosted on AWS,https://aws.amazon.com/privatelink/?nc2=h_ql_prod_nt_pl
Networking & Content Delivery,AWS Transit Gateway,Easily scale VPC and account connections,https://aws.amazon.com/transit-gateway/?nc2=h_ql_prod_nt_tg
Networking & Content Delivery,AWS VPN,Securely access your network resources,https://aws.amazon.com/vpn/?nc2=h_ql_prod_nt_avpn
Networking & Content Delivery,Elastic Load Balancing (ELB),Distribute incoming traffic across multiple targets,https://aws.amazon.com/elasticloadbalancing/?nc2=h_ql_prod_nt_elb
Quantum Technologies,Amazon Braket,Explore and experiment with quantum computing,https://aws.amazon.com/braket/?nc2=h_ql_prod_qt_br
Quantum Technologies,Amazon Quantum Solutions Lab,Collaborate with quantum computing experts,https://aws.amazon.com/quantum-solutions-lab/?nc2=h_ql_prod_qt_qsl
Robotics,AWS RoboMaker,"Develop, test, and deploy robotics applications",https://aws.amazon.com/robomaker/?nc2=h_ql_prod_ro_rm
Satellite,AWS Ground Station,Fully managed ground station as a service,https://aws.amazon.com/ground-station/?nc2=h_ql_prod_sa_ags
"Security, Identity, & Compliance",AWS Identity and Access Management (IAM),Securely manage access to services and resources,https://aws.amazon.com/iam/?nc2=h_ql_prod_se_iam
"Security, Identity, & Compliance",Amazon Cognito,Identity management for your apps,https://aws.amazon.com/cognito/?nc2=h_ql_prod_se_cog
"Security, Identity, & Compliance",Amazon Detective,Investigate potential security issues,https://aws.amazon.com/detective/?nc2=h_ql_prod_se_ad
"Security, Identity, & Compliance",Amazon GuardDuty,Managed threat detection service,https://aws.amazon.com/guardduty/?nc2=h_ql_prod_se_gd
"Security, Identity, & Compliance",Amazon Inspector,Analyze application security,https://aws.amazon.com/inspector/?nc2=h_ql_prod_se_in
"Security, Identity, & Compliance",Amazon Macie,Discover and protect your sensitive data at scale,https://aws.amazon.com/macie/?nc2=h_ql_prod_se_ma
